year,file,size,ext,download
2025,Medicare Provider and Supplier Taxonomy Crosswalk Jan, 64.79K,csv,https://data.cms.gov/sites/default/files/2025-04/d7c24ae8-908c-4174-8470-c31c1c55e2a8/Medicare_Provider_and_Supplier_Taxonomy_Crosswalk_JAN__2025.csv
2025,Medicare Provider and Supplier Taxonomy Crosswalk Data Dictionary,104.72K,pdf,https://data.cms.gov/sites/default/files/2020-07/Medicare%20Provider%20and%20Supplier%20Taxonomy%20Crosswalk%20Data%20Dictionary.pdf
2025,Medicare Provider and Supplier Taxonomy Crosswalk Methodology, 76.22K,pdf,https://data.cms.gov/sites/default/files/2020-07/Medicare%20Provider%20and%20Supplier%20Taxonomy%20Crosswalk%20Methodology_0.pdf
2025,Taxonomy Notes,  2.31K,csv,https://data.cms.gov/sites/default/files/2022-06/Taxonomy%20Notes.csv
2024,"Medicare Provider and Supplier Taxonomy Crosswalk Dec 10,", 64.58K,csv,https://data.cms.gov/sites/default/files/2024-12/2019b560-c060-4499-8bb6-25ac9185e70f/Medicare_Provider_and_Supplier_Taxonomy_Crosswalk_DEC_10_2024.csv
2024,Medicare Provider and Supplier Taxonomy Crosswalk Data Dictionary,104.72K,pdf,https://data.cms.gov/sites/default/files/2020-07/Medicare%20Provider%20and%20Supplier%20Taxonomy%20Crosswalk%20Data%20Dictionary.pdf
2024,Medicare Provider and Supplier Taxonomy Crosswalk Methodology, 76.22K,pdf,https://data.cms.gov/sites/default/files/2020-07/Medicare%20Provider%20and%20Supplier%20Taxonomy%20Crosswalk%20Methodology_0.pdf
2024,Taxonomy Notes,  2.31K,csv,https://data.cms.gov/sites/default/files/2022-06/Taxonomy%20Notes.csv
2024,"Medicare Provider and Supplier Taxonomy Crosswalk Oct 01,", 64.48K,csv,https://data.cms.gov/sites/default/files/2024-11/a6ce71d4-84cd-4d96-9cd4-3ab6c8ee8798/Medicare_Provider_and_Supplier_Taxonomy_Crosswalk_October_2024.csv
2024,Medicare Provider and Supplier Taxonomy Crosswalk Data Dictionary,104.72K,pdf,https://data.cms.gov/sites/default/files/2020-07/Medicare%20Provider%20and%20Supplier%20Taxonomy%20Crosswalk%20Data%20Dictionary.pdf
2024,Medicare Provider and Supplier Taxonomy Crosswalk Methodology, 76.22K,pdf,https://data.cms.gov/sites/default/files/2020-07/Medicare%20Provider%20and%20Supplier%20Taxonomy%20Crosswalk%20Methodology_0.pdf
2024,Taxonomy Notes,  2.31K,csv,https://data.cms.gov/sites/default/files/2022-06/Taxonomy%20Notes.csv
2024,"Medicare Provider and Supplier Taxonomy Crosswalk July 19,", 64.4K,csv,https://data.cms.gov/sites/default/files/2024-07/2dfa900d-dcc3-49f3-9104-d88b9149de8e/Medicare_Provider_and_Supplier_Taxonomy_Crosswalk_July_19_2024.csv
2024,Medicare Provider and Supplier Taxonomy Crosswalk Data Dictionary,104.72K,pdf,https://data.cms.gov/sites/default/files/2020-07/Medicare%20Provider%20and%20Supplier%20Taxonomy%20Crosswalk%20Data%20Dictionary.pdf
2024,Medicare Provider and Supplier Taxonomy Crosswalk Methodology, 76.22K,pdf,https://data.cms.gov/sites/default/files/2020-07/Medicare%20Provider%20and%20Supplier%20Taxonomy%20Crosswalk%20Methodology_0.pdf
2024,Taxonomy Notes,  2.31K,csv,https://data.cms.gov/sites/default/files/2022-06/Taxonomy%20Notes.csv
2023,"Medicare Provider and Supplier Taxonomy Crosswalk Dec 01,", 66.67K,csv,https://data.cms.gov/sites/default/files/2024-04/0f9c6563-7b46-4a5a-b45d-260d75e375ed/Taxonomy%20Code%20List%20Dec%202023.csv
2023,Medicare Provider and Supplier Taxonomy Crosswalk Data Dictionary,104.72K,pdf,https://data.cms.gov/sites/default/files/2020-07/Medicare%20Provider%20and%20Supplier%20Taxonomy%20Crosswalk%20Data%20Dictionary.pdf
2023,Medicare Provider and Supplier Taxonomy Crosswalk Methodology, 76.22K,pdf,https://data.cms.gov/sites/default/files/2020-07/Medicare%20Provider%20and%20Supplier%20Taxonomy%20Crosswalk%20Methodology_0.pdf
2023,Taxonomy Notes,  2.31K,csv,https://data.cms.gov/sites/default/files/2022-06/Taxonomy%20Notes.csv
2023,"Medicare Provider and Supplier Taxonomy Crosswalk Sep 01,", 66.49K,csv,https://data.cms.gov/sites/default/files/2023-09/b8c64259-47c7-4912-950b-ac933989c2c0/Medicare_Provider_and_Supplier_Taxonomy_Crosswalk_September_2023.csv
2023,Medicare Provider and Supplier Taxonomy Crosswalk Data Dictionary,104.72K,pdf,https://data.cms.gov/sites/default/files/2020-07/Medicare%20Provider%20and%20Supplier%20Taxonomy%20Crosswalk%20Data%20Dictionary.pdf
2023,Medicare Provider and Supplier Taxonomy Crosswalk Methodology, 76.22K,pdf,https://data.cms.gov/sites/default/files/2020-07/Medicare%20Provider%20and%20Supplier%20Taxonomy%20Crosswalk%20Methodology_0.pdf
2023,Taxonomy Notes,  2.31K,csv,https://data.cms.gov/sites/default/files/2022-06/Taxonomy%20Notes.csv
2021,"Medicare Provider and Supplier Taxonomy Crosswalk Oct 29,", 62.79K,csv,https://data.cms.gov/sites/default/files/2022-06/8639b869-e4dd-4bea-bb67-f8de6bc870b6/Taxonomy_List.csv
2021,Medicare Provider and Supplier Taxonomy Crosswalk Data Dictionary,104.72K,pdf,https://data.cms.gov/sites/default/files/2020-07/Medicare%20Provider%20and%20Supplier%20Taxonomy%20Crosswalk%20Data%20Dictionary.pdf
2021,Medicare Provider and Supplier Taxonomy Crosswalk Methodology, 76.22K,pdf,https://data.cms.gov/sites/default/files/2020-07/Medicare%20Provider%20and%20Supplier%20Taxonomy%20Crosswalk%20Methodology_0.pdf
2021,Taxonomy Notes,  2.31K,csv,https://data.cms.gov/sites/default/files/2022-06/Taxonomy%20Notes.csv
